日本語,繁体字,簡体字,拼音輸入法,注音輸入法,蒼頡輸入法
日常生活用品,日常生活用品,日常生活用品,rì cháng shēng huó yòng pǐn,ㄖˋㄤˊㄕㄥㄏㄨㄛˊㄩㄥˋㄆㄧㄣˇ,
ティッシュペーパー,面紙,面纸,miàn zhǐ,ㄇㄧㄢˋㄓˇ,
"キッチンタオル, キッチンペーパー",廚房紙巾,厨房纸巾,chú fáng zhǐ jin,ㄔㄨˋㄈㄤˊㄓˇㄐㄧㄣ,
おりものシート,衛生棉,卫生纸,wèi shēng mián,ㄨㄟˋㄕㄥㄇㄧㄢˊ,
生理用ナプキン,衛生護墊,卫生护垫,wèi shēng fù diàn,ㄨㄟˋㄕㄥㄏㄨˋㄉㄧㄢ,
シャンプー、洗髪剤,洗髮精,洗发精,xǐ fà jīng,ㄒㄧˇㄈㄚˇㄐㄧㄥ,
リンス,潤絲精,润丝精,rùn sī jīng,ㄖㄨㄣˋㄙㄐㄧㄥ,
石鹸,香皂,香皂,xiāng zào,ㄒㄧㄤㄗㄠˋ,
歯ブラシ,牙刷,牙刷,yá gāo, ㄧㄚˊㄕㄨㄚ,
急須,茶壺,茶壶,chà hú,ㄔㄚˊㄏㄨˊ,
湯呑み,茶杯,茶杯,chà bēi,ㄔㄚˊㄅㄟ,
コップ、グラス,杯子,杯子,bēi zi,ㄅㄟㄗ·,
丼（どんぶり）,大碗公,大碗公,dà wǎn gōng,ㄉㄚˋㄨㄢˇㄍㄨㄥ,
茶碗,碗,碗,wǎn,ㄨㄢˇ,
箸,筷,筷,kuài,ㄎㄨㄞˋ,
スプーン,湯匙,汤匙,tāng chí,ㄊㄤㄔˊ,
フォーク,叉子,叉子,chā zi,ㄔㄚㄗ˙,
鍋,鍋子,锅子,guō zi,ㄍㄨㄛㄗ˙,
中華鍋,炒菜鍋,炒菜锅,chāo cài guō,ㄔㄠˇㄘㄞˋㄍㄨㄛ ,
フライパン,平底鍋,平底锅,ping dǐ guō,ㄆㄧㄥˊㄉㄧˇㄍㄨㄛ,
土鍋,沙鍋,沙锅,shā guā,ㄕㄚㄍㄨㄛ,
やかん、水筒,水壺,水壶,shuǐ hú,ㄕㄨㄟˇㄏㄨˊ,
おたま,勺子,勺子,sháo zi,ㄕㄠˊㄗ˙,
しゃもじ,飯匙,饭匙,fàn chí,ㄈㄢˋㄔˊ,
包丁,菜刀,菜刀,cài dāo,ㄘㄞˋㄉㄠ,
バケツ、桶,水桶,水桶,shuǐ tǒng,ㄕㄨㄟˇㄊㄨㄥˇ,
タオル,毛巾,毛巾,maó jīn,ㄇㄠˊㄐㄧㄣ,
バスタオル,大浴巾,大浴巾,dà yù jīn,ㄉㄚˋㄩˋㄐㄧㄣ,
ハンガー,衣架,衣架,yī jià,ㄧㄐㄧㄚˋ,
まな板,切菜板,切菜板,qiē cài bǎn,ㄑㄧㄝㄘㄞˋㄅㄢˇ,
魔法びん,熱水瓶,热水瓶,rè shuǐ píng,ㄖㄜˋㄕㄨㄟˇㄆㄧㄥˊ,
缶切り,開罐器,开罐器,,ㄎㄞㄍㄨㄢˋㄑㄧˋ,
箒（ほうき）,掃把,扫把,,ㄥㄠˋㄅㄚˇ,
ちりとり,畚箕,畚箕,,ㄅㄣˇㄐㄧ,
消臭剤,芳香劑,芳香剂,,ㄈㄤㄒㄧㄥㄐㄧˋ,
洗剤,洗衣粉,洗衣粉,,ㄒㄧˇㄧㄈㄣˇ,
クレンザー,洗潔精,洗洁精,,ㄒㄧˇㄐㄧㄝˇㄐㄧㄥ,
おしゃれ着用洗剤,冷洗精,冷洗净,,ㄌㄥˇㄒㄧˇㄐㄧㄥ,
食器用洗剤,洗碗精,洗碗精,,ㄒㄧˇㄨㄢˇㄐㄧㄥ,
おむつ,尿布,尿布,,ㄋㄧㄠˋㄅㄨˋ,
おしゃぶり,奶嘴,奶嘴,,ㄋㄞˇㄗㄨㄟˇ,
汗知らず,痱子粉,痱子粉,,ㄈㄟˋㄗ˙ㄈㄣˇ,
手袋,手套,手套,,ㄕㄡˇㄊㄠˋ,
ミルク,嬰兒奶粉,婴儿奶粉,,ㄧㄥㄦˊㄋㄞˋㄈㄣˇ,
ブランド,品牌,品牌,,ㄆㄧㄣˇㄆㄞˊ,
雪印,雪印,雪印,,ㄒㄩㄝ ˇㄧㄣˋ,
明治,明治,明治,,ㄇㄧㄥˊㄓˋ,
栗鼠（リス）,松鼠,,sōngshǔ,ㄙㄨㄥ ㄕㄨˇ,
